,CorporateIdentityNumber,NameOfTheCompany,Sector,NetWorth_DCYMain,SpecificCommitmentsGoalsAndTargetsSetByTheEntityWithDefinedTimelinesExplanatoryTextBlock,PerformanceOfTheEntityAgainstTheSpecificCommitmentsGoalsAndTargetsAlongWithReasonsInCaseTheSameAreNotMetExplanatoryTextBlock,StatementByDirectorResponsibleForTheBusinessResponsibilityReportHighlightingESGRelatedChallengesTargetsAndAchievementsExplanatoryTextBlock,DetailsOfTheHighestAuthorityResponsibleForImplementationAndOversightOfTheBusinessResponsibilityPolicyExplanatoryTextBlock
68,L28920MH1919PLC000567,Tata Power Company Limited,"Electricity, Gas, Steam and Air Conditioning Supply",33729.0,Please refer ‘Embedding ESG factors in business’ section on Page 69 of the Integrated Report FY24.,Please refer ‘Business Strategies’ section on Pages 38-41 of the Integrated Report FY24.,Please refer to ‘CEO & MD’s message’ on Pages 16-19 of the Integrated Report FY24.,"The Board of Tata Power is the highest authority responsible for the oversight of the implementation
of Business Responsibility policies.
Dr. Praveer Sinha, CEO & Managing Director (DIN: 01785164) is the highest authority responsible for
implementation of all policies."
69,L40101HP1988GOI008409,SJVN Limited,"Electricity, Gas, Steam and Air Conditioning Supply",140302572424.0,"Environment:
> Shared Vision of achieving 5,000 MW by 2023-24, 25,000 MW by 2030 and 50,000 MW by 2040
> 50% of installed electric power capacity is planned to be generated from non-fossil sources by 2030
> Aim to achieve net-zero emission by 2070
> Continue to lead the current paradigm change in the Indian power sector from a fossil fuel to a renewable energy base
Social:
> Aims to preserve traditions, empower communities, and foster a sense of pride and unity
> Commitment towards employees and workers’ well-being and security
> Commits to encourage employees for adopting healthy lifestyles
Governance:
> Committed to concentrate its efforts and resources to protect and promote the interests of other stakeholders while maximizing shareholder wealth","Environment:
> Power Purchase Agreements have been signed for 200 MW Solar Power Project Capacity with Maharashtra State Electricity Distribution Company Limited and with Solar Energy Corporation of India Limited for 100 MW Wind Power Capacity
> Power Usage Agreement for supply of 500 MW Solar power from ongoing 1000 MW Bikaner SPP has been signed with Punjab State Power Corporation Limited
> A new all-time high record of 50.5 MU in Single-Day power generation has been set by the two flagship hydro Power Stations in Himachal Pradesh
> 1500 MW Nathpa Jhakri Hydro Power Station has set a new record with 39.570 MU and 412 MW Rampur Hydro Power Station with 10.9 MU energy generation in a single day
Social:
> Dispute Avoidance Mechanism for preventing/resolving contract conflicts in their early stages
> Dispute Resolution Mechanism - Conciliation Committees are used to resolve disagreements
> Green Open Access Rules, 2022 have been issued which made it possible for small consumers to buy renewable energy, and captive consumers have no restrictions on the same
Governance:
> Company has obtained ISO 31000:2018 certification for implementation of Risk Management System
> Adopted a dynamic CSR & Sustainability Policy
> Continuous track record of receiving ""Excellent"" ratings for compliance with the ""DPE Guidelines on Corporate Governance"" each year since its listing","SJVN''s commitment to delivering sustainable long-term growth remains steady. The business of the company is dedicated towards advancing social development and highlights its initiatives for social justice, inclusive growth, and sustainable development. It strongly believes that prioritizing sustainability in all their initiatives can foster the growth and well-being of their communities. Guided by the core principle of integrating innovation, quality, and sustainability into every aspect of operations, SJVN has implemented numerous initiatives aimed at ensuring sustainable and ethical practices. 
The SJVN Foundation''s CSR programs fall into six primary categories: community asset creation, education and skill development, health and hygiene, local culture and sports promotion, sustainable development, and relief and assistance during natural disasters. SJVN''s dedication to Sustainability and Corporate Social Responsibility (CSR) is demonstrated by a range of programs and projects it has launched to elevate and empower underprivileged communities and those living in remote areas without access to essential community services. Many people from various community segments as well as those residing in remote areas without access to basic community services have benefited from these programs. Its commitment is to safeguard the interests of all stakeholders. SJVN hopes to have a significant and long-lasting influence on society by coordinating its CSR initiatives with the developing world. It makes sure that its projects are pertinent, efficient, and long-lasting by adjusting to new technology, looking into creative solutions, and actively interacting with stakeholders. Through these initiatives, SJVN hopes to promote community empowerment, holistic development, and societal well-being","Shri Sushil Sharma
Chairman and Managing Director"
70,L45200TN2002PLC049601,REFEX INDUSTRIES LIMITED,"Electricity, Gas, Steam and Air Conditioning Supply",3143938240.0,"ESG Goals and Objectives
i. Climate Change: Refex Industries Limited (RIL) aspires to be Net Zero by 2040 for Scope 1 and Scope 2 Emission.
ii. Water Stewardship: RIL operations to be water positive by 2035.
iii. Ecosystem Restoration: Pledged to plant and nurture 10,00,000 native species by 2035.
iv. Renewable Energy: Refrigerant business to be run on 100 % on renewable solar energy by FY 2024-25 onwards.
v. Waste Management: 100 % solid waste recycling/reuse from our operations by 2025 and beyond
vi. Zero Harm: Achieving and maintaining zero harm for RIL Operations.
vii. Mental Wellbeing: Promoting mental well-being among employees covering 100 % of the employees to go through the awareness program.
viii. Diversity: Increase women’s representation in our workforce to 15 % over the next 2 years.
ix. Sustainable Supply Chain: 100 % ESG assessment on active Tier 1 value chain partners by FY2024-25.
x. Grievance Mechanism: Comprehensive implementing of the company’s grievance policy and timely resolution of all grievances and complaints",Performance of each of the principles is reviewed periodically by various Committees led by the Management and Board of Directors and it met previous financial years’ target. The details are available in Refex Group Sustainability Report for FY2023-24.,"Statement by director responsible for the business responsibility report, highlighting ESG related challenges, targets and
achievements (listed entity has flexibility regarding the placement of this disclosure)
We Refex Industries Limited (RIL) are pleased to present our Second Business Responsibility and Sustainability Report (BRSR), which
outlines our commitment to the nine principles of the National Guidelines on Responsible Business Conduct (NGRBC) in India. As a
responsible and sustainable business, we believe it is essential to adhere to these guidelines to ensure the well-being of all our
stakeholders.
At RIL, we are committed to creating sustainable value for all our stakeholders, including customers, employees, suppliers,

Statement by director responsible for the business responsibility report, highlighting ESG related challenges, targets and achievements (listed entity has flexibility regarding the placement of this disclosure)

We Refex Industries Limited (RIL) are pleased to present our Second Business Responsibility and Sustainability Report (BRSR), which outlines our commitment to the nine principles of the National Guidelines on Responsible Business Conduct (NGRBC) in India. As a responsible and sustainable business, we believe it is essential to adhere to these guidelines to ensure the well-being of all our stakeholders.

At RIL, we are committed to creating sustainable value for all our stakeholders, including customers, employees, suppliers,communities, and the environment. We have taken significant steps to implement these principles across our operations, and we are continuously striving to improve our practices. We have developed a comprehensive Sustainability Framework that guides our business decisions, and we regularly measure our performance against industry benchmarks and international standards.

We are committed to engaging with our stakeholders to understand their needs and concerns, and we work closely with them to address any issues that may arise. We believe that open communication and collaboration are essential to building trust and creating sustainable value for all.

Environmental, social, and governance (ESG) issues are critical to the long-term success of our business and society. We recognize the importance of ESG megatrends and challenges such as climate change, resource depletion, inequality, diversity and inclusion, and ethical behavior. As a responsible business, we are committed to reducing our environmental impact, promoting sustainable practices, and conserving natural resources. We also prioritize the well-being of our employees, suppliers, customers, and the communities in which we operate, by promoting a safe, healthy, and inclusive workplace, ensuring ethical and sustainable practices in our supply chain, and contributing to community development. Additionally, we maintain strong governance practices, promoting transparency, accountability, and ethical behavior throughout our operations.

Although BRSR is not mandatory for us at this moment, we are pleased to disclose our ESG performance voluntarily for the second consecutive year through this BRSR framework demonstrating corporate citizenship, business ethics & integrity, and responsibility towards society and the environment.","Anil Jain, Managing Director
Refex Industries Limited."
71,L40300MH1977PLC019594,Lloyds Metals and Energy Limited,"Electricity, Gas, Steam and Air Conditioning Supply",28108700000.0,,,"The Company is committed to pursuing its business objectives ethically, transparently and with accountability to all its stakeholders. It believes in demonstrating responsible behavior while adding value to society and the community, as well as ensuring environmental well-being from a long-term perspective. The Company, as a responsible corporation, remains committed to a holistic and integrated approach towards imbibing Environmental, Social and Governance (ESG) principles in its businesses to impact the value chain and its key stakeholders. LLOYDS, as a leading steel manufacturer with coal-based Direct Reduced Iron (DRI) production and an operational iron ore mine, we are committed to advancing sustainable practices. The importance of Environmental, Social, and Governance (ESG) factors are long identified and incorporated into the mission and vision of our company and into our operations. 

Environmental Stewardship
Guided by ISO 14001 standards, our Environmental Management System (EMS) addresses significant challenges such as energy consumption and emissions. We have increased our use of electricity from renewable sources by more than double over the past year, significantly reducing our carbon footprint. Additionally, our Waste Heat Recovery Boilers and Sewage Treatment Plants exemplify our commitment to energy conservation and effective water management, respectively.

Social Responsibility and Occupational Health
In alignment with ISO 45001, we prioritize a safe and healthy working environment for all employees, extending beyond compliance to foster a proactive culture of safety and well-being.

Governance and Ethical Conduct
Our operations are supported by ISO 9001 standards, emphasizing a Quality Management System (QMS) that upholds excellence. Ethical conduct and transparent governance are foundational to our business philosophy, ensuring integrity and accountability in all stakeholder interactions.
Our dedication to integrating ESG considerations is a continual process that enhances long-term shareholder value and positively impacts the community and environment. We value the ongoing support of our stakeholders in these endeavors.",Board of Directors
72,L40102DL2007PLC169082,RATTANINDIA POWER LIMITED,"Electricity, Gas, Steam and Air Conditioning Supply",41560000000.0,"Towards the effectuation of various programmes and initiatives  in  pursuit  of  the  policy  of  promoting equitable growth and Development, the Company has also been coming to the aid of the local population by
providing assistance and succor in various forms such as  provision  of medical  aid,  contribution  towards religious ceremonies of locals etc.","Towards the effectuation of various programmes and initiatives  in  pursuit  of  the  policy  of  promoting equitable growth and Development, the Company has also been coming to the aid of the local population by
providing assistance and succor in various forms such as  provision  of medical  aid,  contribution  towards religious ceremonies of locals etc.",Please refer the Chairman''s message.,Board of Directors is the highest authority responsible for implementation  and oversight of  the Business Responsibility policy (ies).
73,L26943TN1965PLC005297,RAMCO INDUSTRIES LIMITED,"Electricity, Gas, Steam and Air Conditioning Supply",11418429534.0,RIL will work out a Sustainability strategy 2030 that will focus on key aspects of sustainability,Key performance targets across ESG parameters will be set internally and monitored from this financial year onward,"Sustainability at Ramco Industries Limited is enshrined in our founding philosophy, “We should believe that when the organization grows the society and community around that should also grow”. Our success lies in ensuring our stakeholders are consistently satisfied in their engagement with us, for it is that which power each of us at Ramco Industries Limited to stretch our potential to scale newer heights.","Shri. Prem Shanker, Chief Executive Officer
044 2847 8585"
74,L15100UP2020PLC136939,Dhampur Bio Organics Limited,"Electricity, Gas, Steam and Air Conditioning Supply",9956809812.0,"DBO has established clear ESG goals across the four pillars - Responsible Governance, Resource Efficient Operations, People First, and Purposeful Products. We are striving to implement a robust ESG governance structure, ensuring transparency and accountability across operations. As part of our commitment to inclusivity, we are setting specific targets to hire differently abled employees and workers and are dedicated to prioritizing employees’ well-being by developing a comprehensive HR assessment process to identify
and mitigate risks. The Company is also taking proactive steps towards sustainable sourcing by ensuring that agricultural raw materials are assessed and certified as sustainable, in line with certifications. Additionally, we are in the process of setting Net Zero target for Absolute Scope 1 + 2 emissions, and targets towards reduction of specific water intensity.","This report presents an overview of our existing performance across diverse indicators concerning business responsibility and sustainability. While we have transparently disclosed our current performance, we acknowledge the imperative for ongoing improvements. Therefore, we affirm our commitment to establishing precise goals and targets, serving as guiding beacons to propel our endeavors towards realizing a more sustainable and responsible business paradigm.","At Dhampur Bio Organics, we envision long-term sustainability not only for our company but also for the communities and ecosystems in which we operate. Our belief in ESG principles is deeply ingrained in our corporate ethos, and we remain resolute in our pursuit of creating shared value for all stakeholders. Our
commitment to ESG goes beyond rhetoric; it is reflected in our actions and initiatives aimed at minimizing our environmental footprint, fostering social inclusivity, and upholding the highest standards of corporate governance. We recognize the need to explore the entire spectrum of value additions within the sugar sector. While this journey may pose its own set of challenges, we firmly believe that it aligns with our vision for sustainable growth and will ultimately yield significant benefits for our stakeholders, not only enhancing our resilience but also positioning us as a responsible corporate citizen in the eyes of our stakeholders.","Mr. Gautam Goel
Managing Director"
75,L40104RJ2015PLC048445,Insolation Energy Limited,"Electricity, Gas, Steam and Air Conditioning Supply",5118.78,We have identified our key material topics and are currently tracking all KPIs related to our business.,We are progressing well on all our key material topics.,"Dear Stakeholders,

I am pleased to present the Insolation Energy Limited Business Responsibility and Sustainability Report, which is a testimony to our commitment to sustainability and outlines our commitment to Environmental, Social, and Governance (ESG) principles.

Environmental Responsibility: At Insolation we recognize the importance of minimizing our ecological footprint and contributing to a sustainable future. 

Social Responsibility: Our relationship with local communities has been a cornerstone of our success. The key challenge for social programs that we have been cognizant of has been ensuring long term positive impact on the communities in which we operate. We are actively engaged in capacity-building initiatives, such as providing livelihood opportunities to local residents. 

Governance: Transparent and ethical governance is the bedrock of our business operations. Maintaining a high standard of corporate governance across a diverse portfolio spread over hundreds of decentralized and often remote operating locations is always a critical challenge. We take pride that our Company has consistently and successfully maintained a robust governance framework, with all our projects adhering to stringent regulatory and compliance standards. Looking ahead, we are committed to continual improvement to raise the bar even higher. 

In conclusion, our Business Responsibility and Sustainability Report underscores our unwavering dedication to ESG principles and our mission to create lasting positive impact. We remain steadfast in our pursuit of sustainability and are confident that, together with your continued support, we can pave the way for a greener, more inclusive, and responsible future for generations to come.",Mr. Manish Gupta Chairman & Wholetime Director and Mr. Vikas Jain Managing Director oversees the implementation in consultation with various functional heads.
76,L40200GJ2012SGC069118,GUJARAT GAS LIMITED,"Electricity, Gas, Steam and Air Conditioning Supply",77870400000.0,"Plantation of Trees & Saplings
Background: Plantation of trees and saplings aid in making environment better. It purifies the air, conserves water, helps in climate control, preserves soil and benefits the overall environment in several other ways. 

Goal: In FY 2024-25, GGL plans to carry out plantation of around 3000 sapling/trees.

Digitalization of processes for transparency in Governance, ease of operations & reduction in paper usage
Background: GGL is taking up various automation related IT initiatives for different aspects of the Company – PNG, CNG, Customer Care, Vendor invoicing, E-filing approval, HR & Admin support processes. These automations are being proposed with an aim to bring in process efficiency, transparency, speed up business process, ease to customer & vendor and reducing paper usage with ultimate goal of benefitting environment & bringing governance efficiency. 

Goal: In FY 2024-25, GGL plans to completely automate Customer care requirements which will enable customers to raise all their request online without requiring to visit GGL offices.
GGL also plans to draw future vision/roadmap for digitization & automation of entire business operations in FY 2024-25. 

Investing in Renewable Energy
Background: Solar energy is a renewable energy and one of the cleanest & greenest form of energy which causes neither pollution nor causes any damage to environment and is also economically cheap

Goal: GGL plans to procure Green power from Solar power generation plants equivalent to the power requirements of all its COCO CNG stations (30 Mn+ KWH of annual power) to ultimately reduce Scope-2 emissions in FY 2024-25.

Green Hydrogen Blending with Natural Gas for CGD 
Background: Based on successful running operations of the Pilot project at 5% Green H2 blending in Gas distribution network for more than 10 months, GGL was authorized by PNGRB to increase H2% in blended gas from 5% to 8% in Nov 2023, implemented since Dec 2023. This Pilot project results will support in finalization of way forward for H2 transportation through existing gas pipelines and ultimately contributing to emission reduction.
Goal: Increase the green hydrogen concentration (to 10% and beyond) in the Pilot project and test performance, post approval from regulator based on satisfactory results of 8% blending in FY 2024-25.

Injection of Bio-Gas into PNG/CNG system: 
Background: GGL has existing agreements with Bio-Gas manufacturers for supplying Bio-gas to be injected into GGL PNG/CNG system. This initiative of Bio-gas injection into CGD is being driven by regulator and will help in waste management, air pollution control and also reduces dependency on imported fossil fuel since Bio Gas is produced as a side product in the agricultural/food waste transformation process developed indigenously.

Goal: Based on Bio-gas manufacturers readiness to ensure technical & safety requirements for supply GGL will commission two projects on Biogas injection into GGL PNG/CNG system at Hoshiarpur-Gurdaspur & Bharuch, Surendranagar & Indore in this FY 2024-25.

Setting up new CNG stations: 
Background: GGL is influencing automobile users in its operational areas to use compressed natural gas as a clean automotive fuel through various campaigns. GGL has made it a priority to expand CNG transportation and dispensing infrastructure and facilities. CNG is a popular alternative fuel because of its clean burning characteristics and low carbon emission in air. Natural gas helps to reduce the environmental impact of vehicular emissions caused by the use of other polluting fuels such as petrol and diesel.

Goal: In FY 2024-25, GGL plans to set up 22 new CNG stations across GGL operational areas. GGL also plans to upgrade 62 existing CNG station in terms of capacity enhancement, Daughter to Daughter Booster and Daughter / Daughter Booster to Online. 

Setting up LNG storage and regasification facility for CNG/PNG supply
Background: Liquefied Natural Gas (LNG) is a natural gas, predominantly methane (CH4) that has been liquefied for ease of storage and transportation. This LNG is pressurized and re-gasified through ambient vaporizers for dispensing to customer vehicles as an automotive fuel and Piped natural gas to domestic, commercial and industrial customers on priority, in areas far away from gas supply point of supplier transmission pipeline. 

Goal: In FY 2024-25, GGL plans to set up 2 new facilities for LNG storage and regasification.

Relocation of Corporate Offices
Background: GGL has currently three Corporate offices located in different parts of Ahmedabad city, this requires employee movement, courier transfers, vehicles plying between these offices for various business requirement

Goal: In FY 2024-25, GGL plans to relocate all of these three corporate offices at one single location in Gandhinagar which will save both time & travel for employees in movement between offices, administrative cost and will also reduce vehicle emissions.

Social Commitments
Background: GGL remains committed to give back to the society through its various CSR activities. These CSR activities are planned in order to serve the community specially the marginalized and vulnerable part of the society

Goal: In next three Financial years following activities will be done as part GGL social responsibility in association of recognised institutions/NGO/Government:
Imparting industry responsive skill development to needy and unemployed youth around 500 numbers through M/s Aspire Disruptive Skill (ADS) Foundation
Support construction of a new building for Kanya Ashram Shala and Indian Institute of Information Technology (IIIT), Surat 
Development/upgradation of approx.225 anganwadis in aspirational districts of Gujarat.
Mangalam Canteen - Create sustainable livelihood and income generation through promotion of traditional food products & culinary skill of women
Micro Enterprise Development - Encouraging rural women to start economical activities at small scale to change their socio-economic status by ensuring sustainable living
Provide access to cost effective farm mechanization to the small & marginal women farmers at a reasonable rate and also to generate livelihood
Increase income of women farmers and provision of quality feed for cattle through establishment of cattle feed unit 
Increase income of women by developing value chain and processing unit for millet and other bakery related food items 
Development of Proof of Concept of Optical Camera based Smart Navigation System – Health development project by IKDRC to develop a computer navigation system for assisting total knee joint arthroplasty","GGL has increased green hydrogen percentage in blended gas from 5% to 8% in Dec 2023, upon approval from PNGRB This pilot project will provide learnings to the industry and act as case model for future projects of H2 blending in PNG contributing to reduced emission & de-carbonization
GGL has kick-started the operation of injecting of Compressed Biogas produced from agricultural / food waste, into GGL CNG system at Sanchor, Jalore-Sirohi GA in Nov 2023. 15000 Kg of CBG which has been dispensed to CNG Customers till March 2024. This contributed to waste management and pollution control & supports reducing country’s dependency on imported fuel.
GGL during World Environment Day 2023 celebration planted more than 2100 sapling/trees across locations 
GGL in FY 2023-24 has implemented various automated process modules – Online approval, Vendor Invoice, Travel, LNG Tanker Management, IT & hardware, etc.  for efficiency, transparency, speed & access of data & status for both internal as well as external stakeholders 
GGL has contributed to society through various CSR initiatives such as imparting industry responsive skill development to needy and unemployed youth, purchase of school bus for physically challenged students, providing artificial limbs to persons with disabilities, establishing the industry 4.0 technology lab, construction of a new building for Kanya Ashram Shala. GGL over-all contributed Rs. 37.09 Crore towards these CSR projects.
GGL has initiated installation & implementing of smart pre-paid gas meters to benefit in terms of eliminating the need for manual meter reading, centralized monitoring for real-time consumption tracking and collecting payments in advance,. Currently 200+ smart meters have been installed.
GGL has directly sourced 54% of its total input materials (except NG) from MSME which is Rs. 158.16 Crore
GGL has upgraded 23 Daughter & Daughter Booster CNG stations into Online stations which will now be supplied gas through pipeline instead of Mobile Cascade Vehicle (MCV)
GGL has set-up 37 new CNG stations across locations & 1 LNG station at Alang providing clean & environment friendly fuel to customers","The statement on sustainability related risks, goals, commitments and the Company’s contribution is available in Annexure-7 of the Board’s report for the FY 2023-24.",The Board of Directors have constituted a Business Responsibility & Sustainability Reporting (BRSR) Committee for reviewing and recommending the Business Responsibility & Sustainability Report to the Board of Directors including oversight of policies.
77,L40106HP2020PLC010065,Inox Wind Energy Limited,"Electricity, Gas, Steam and Air Conditioning Supply",339160000.0,"Inox Wind Energy Limited has established ambitious goals to drive progress in renewable energy initiatives and enhance operational efficiency. The company places a strong emphasis on environmental and social responsibility, going beyond mere regulatory compliance and actively integrate sustainable environmental practices into our strategic decision-making processes.","The entity monitors and reports on its performance against these commitments, goals, and targets regularly. If any targets are not met, reasons are analyzed and addressed to enhance future performance and sustainability efforts.","The power sector plays a crucial role in driving economic growth, but conventional methods often raise environmental concerns due to emissions. Wind energy, as a renewable source, presents a sustainable solution by reducing reliance on finite resources such as fossil fuels and water while generating clean power.
As in the business of wind energy solutions, IWEL is dedicated to balancing environmental responsibility with economic advancement. We actively contribute to mitigating greenhouse gas emissions and promoting greener economic development.
Embedded in our corporate ethos is a commitment to Environmental, Social, and Governance (ESG) principles. At IWEL, we integrate these principles deeply into our operations to ensure that all activities are carried out responsibly and ethically.
We are steadfast in our pursuit of continuous improvement for a better future. At IWEL, we continuously refine our processes to make a positive impact on society. By collaborating closely with our customers, we assist them in achieving their sustainability objectives, enabling growth that respects environmental sustainability. Together, we are forging a path towards a brighter and more sustainable future.","Name-Mr. Kallol Chakraborty, Whole-time Director and Mr. Devansh Jain, Director of the Company are responsible for implementation and oversight of the Business Responsibility Policy(ies) 
Telephone-+91-1206149600
Email-Invetors.iwl@inoxwind.com"
78,L15421WB1975PLC030118,Balrampur Chini Mills Limited,"Electricity, Gas, Steam and Air Conditioning Supply",28224331565.0,"We have set specific Environmental, Social, and Governance (ESG) goals, which serve as our strategy to deliver consistent competitive performance and create long term value for our stakeholders. We have set an ambitious sustainability agenda to tackle the issues that our consumers and stakeholders care deeply about, such as inter alia, related to Products stewardship, Water neutrality, Energy conservation, Green environment, Safe workplace, Energising, equitable & inclusive workplace, World Class Governance, Ethics, transparency, quality and accountability, and Sustainable supply chain management.","The Company has been one of the trailblazers among its peers in driving initiatives towards meeting its ESG commitments, goals and targets. BCML has implemented sustainable initiatives in its business operations aligning with UN SDGs and identified material issues for the Company. The Company reported ESG parameters as per GRI standards and has obtained Sustainability Assurance on its reporting practices

1. BCML exhibited a strong governance performance in the reporting year driven by the implementation of effective governance practices with good representation of independent directors on the board and its committees efficient board functioning and adherence to ethical standards. Moreover, the Company is committed to incorporate ESG practices in its business operations and has obtained Sustainability Assurance from SGS India Private Limited.

2. BCML displayed a strong performer on the social pillar of ESG as it focused on the health and safety of the employees and has a Business Continuity Plan for which mock drills are conducted periodically. The Company has
a Grievance Redressal Mechanism which cater to employees, customers and community grievances and has therefore achieved a 100% Customer Satisfaction Index in the reporting year and has been engaging with its
employees through safety and skill-upgradation training.

3. BCML demonstrated a steady performance on the environmental theme of ESG as the Company disclosed policies and performance trends on water usage, waste management and GHG emissions. BCML has implemented
energy efficiency initiatives to moderate energy consumption and enhance the use of green fuel. Additionally, the Company initiated energy audits and safety audits. It is noteworthy that BCML started computing for its Scope 3 emissions along with Scope 1 & 2 emissions from the current reporting year and is all set to prepare its decarbonization roadmap and net zero targets going forward.

This report further outlines our present performance across different metrics of business responsibility and sustainability. We are dedicated to establishing concrete objectives and benchmarks to direct our progress towards a more sustainable and responsible business framework. Additionally, by educating farmers and offering them subsidized organic manure, we are actively working to improve soil carbon content.","BCML’s approach to sustainable development focusses on maintaining sustainable sugar production that not only benefits farmers and the community but also supports a thriving business ecosystem. In addition to sugar, we produce ethanol, which serve as biofuels and aid in environmental sustainability.

In our commitment to environmental stewardship, we have established internal targets focused on water conservation, reducing energy consumption, enhancing resource efficiency and minimizing waste. We positively influence the lives of local communities by initiating various Corporate Social Responsibility (CSR) projects near our manufacturing sites, particularly targeting education, skills development and enhancing employability and entrepreneurship to uplift livelihoods and to foster community development.

With sustainability as our core motivation, we are dedicated towards aligning our objectives with the Environment, Social, and Governance (ESG) dimensions of our business and to developing innovative business models. This commitment extends to the entire value chain, with efforts to reduce carbon emissions, minimize waste and adopt renewable energy sources.

The Company’s growth strategy integrates ESG considerations, with a focus on excelling in Environment, Health, and Safety (EHS) and making substantial progress towards a more sustainable future. This unwavering commitment to sustainability underscores the Company’s aspiration to positively impact society and the environment.","The Board of Directors, guided by the Chairman and Managing Director, holds the foremost responsibility for strategic oversight aimed at safeguarding and augmenting shareholder value. Under the direction of the Board of Directors and its Committees, Mr. Praveen Gupta, the Whole Time Director and Head of Corporate Technical Team, serves as the principal authority responsible for implementing and supervising the ESG. Additionally, Units heads and Heads of Corporate Functions are tasked with ensuring the execution of the Sustainability
Policies within their specific divisions or functions and communicating these policies to the employees."
79,L40300GJ2013PLC077803,Adani Energy Solutions Limited [“AESL / the Company”] (formerly known as Adani Transmission Limited),"Electricity, Gas, Steam and Air Conditioning Supply",109215400000.0,"1) Board Governance as per world best practices
2) To be in Top-10 companies globally for ESG benchmarking of Electric
Utility Sector by FY 2024-25.
3) Avoiding GHG emissions through sourcing renewable energy and
building supporting infrastructure- 60% renewable in total electricity
distribution by AESL-AEML by 2027.
4) Emission intensity target in line with India’s Nationally Determined
Contributions (NDCs) and performance disclosures in public domain
5 Committed to Health and Safety of workforce with Zero Harm and
Zero Leak objective by bringing Leadership commitment, Uniform
deployment of safety standards and procedures, Capacity building,
Systems and Processes
6) IT – enablement of Adani Energy Vertical ESG framework by FY 2023-
24 under O&M phase by 2024-25
9) Integrate with Management Systems in the company to conduct
business with no net loss to biodiversity and 100% alignment with
India Business Biodiversity Initiative (IBBI) and public disclosures by
2023-24
10) Building green supply chain by integration of Associates for 100% of
critical supplies by 2023-24
11) Systematic Materiality Assessment and integration with Management
Systems in the company
12) Inclusive growth including communities by undertaking CSR initiatives
aligned with business impacts to leave positive footprints and societal
happiness","Key Performance targets across ESG parameters are set internally and
monitored and acted upon continuously
1) Board Governance as per world best practices - ongoing
2) AESL in Top-20 companies globally for Sustainalytics ESG
benchmarking of Electric Utility Sector by FY 2024-25
3) Avoiding GHG emissions through sourcing renewable energy and
building supporting infrastructure- FY24: RE share of 34.35% of
electricity purchased and sold and on track to achieve the goal of 60%
renewable in total electricity distribution by AESL-AEML by 2027.
4) Emission intensity target in line with India’s Nationally Determined
Contributions (NDCs) and performance disclosures in public domain –
done in Sustainability report 2023
5) Committed to Health and Safety of workforce with Zero Harm and
Zero Leak objective by bringing Leadership commitment, Uniform
deployment of safety standards and procedures, Capacity building,
Systems and Processes – refer social section of integrated report for
details
6) IT – enablement of Adani Energy Vertical ESG framework by FY 2023-
24 under O&M phase by 2024-25 – Gensuit software being deployed
Apr’24 onwards
9) Integrate with Management Systems in the company to conduct
business with no net loss to biodiversity and 100% alignment with
India Business Biodiversity Initiative (IBBI) and public disclosures by
2023-24 – refer our IBBI report of 2024
10) Building green supply chain by integration of Associates for 100% of
critical supplies by 2023-24 – Suppliers identified and spend analysis
conducted, top 90% by spends engaged thru CDP Supply chain
engagement platform for environmental disclosure
11) Systematic Materiality Assessment and integration with Management
Systems in the company – Double materiality assessment carried out
through third party and integrated with risk management & Strategy
of Business.
12) Inclusive growth including communities by undertaking CSR initiatives
aligned with business impacts to leave positive footprints and societal
happiness",Refer Managing Directors message on page 24-27 of AESL Annual Report 2023-24,The Board has established a Corporate Responsibility Committee composed solely of the Non-Executive & Independent Directors for implementation and oversight of the Business Responsibility policy (ies).
